n_clusters,SSE,Silhouette,Calinski_Harabasz,Davies_Bouldin,Gap_Statistic,BIC,AIC
2,243.4246209415758,0.4549556987003866,42.79967675331011,1.0370955237682333,0.8908756275779526,801.1569207733497,622.5042672876598
3,209.33912110488188,0.42736689842915854,28.648170583788765,1.4754858621678046,0.9137711645768585,895.4952533516159,626.5126065304648
4,183.34679170028303,0.41165903903245515,23.797005121461595,1.2882726079860074,0.9491487218273127,842.8149538299359,483.50231367332356
5,156.1946140151698,0.4110258145842321,22.712481779082555,1.069982111620868,0.9769770413102759,684.9862184595625,235.34358496748888
6,134.76841922824977,0.20659211463914173,22.19562645828031,1.2658171038986359,1.0123668126960714,539.1406004239271,-0.8320264036075287
7,127.01480374413904,0.15337956751283224,19.713305034039593,1.2635198583853078,1.017137347532012,560.5541200372188,-69.74850012577713
8,113.34781742972015,0.18466146853671175,19.349610188407613,1.1155756724118642,1.0496586539186294,481.6036839660143,-239.02892953244293
9,102.07304869134518,0.13616167607106314,19.03617061444271,1.1750687046417467,1.1245553971558921,456.87538710993044,-354.0872197239878
10,94.5085607075679,0.14717626840332446,18.27831450959587,1.041975311906681,1.1273811055731384,491.4824123570502,-409.81018781232933
11,85.24997449485832,0.1732883003416996,18.3096842136506,0.9790894722918231,1.1662925821484977,489.273221710931,-502.34937179390977
