Cluster,N_Samples,跨境数据传输总量_TB,GDP_亿元,数字经济核心产业增加值_亿元,数据交易额_亿元,5G基站数量,算力规模_PFLOPS,研发经费投入_亿元,高新技术企业数,Sample_City_Years
C0,37,303.4871823556294,6647.224623586717,2471.0469103860914,32.83661010120983,16321.891891891892,531.125380753295,266.31560322154417,1376.6756756756756,"东莞_2019, 东莞_2020, 东莞_2022, 中山_2019, 中山_2020"
C1,18,590.781098678375,33005.30620783973,15995.878510118346,68.31372728584098,23219.777777777777,1046.2443329219825,1708.7287222255677,2664.4444444444443,"东莞_2021, 东莞_2023, 佛山_2022, 广州_2019, 广州_2020"
